Abadi  Kekal
Akal  Pikiran
Ambisi  Hasrat
Aneh  Ganjil
Angkuh  Sombong
Asli  Autentik
Bagus  Indah
Banyak  Melimpah
Bebas  Merdeka
Benci  Benci
Berani  Nekat
Bersih  Higienis
Bodoh  Dungu
Buruk  Jelek
Cerdas  Pandai
Cepat  Kilat
Cinta  Kasih
Datar  Rata
Dekat  Hampir
Derita  Sengsara
Dingin  Sejuk
Dosa  Kesalahan
Elok  Menawan
Gembira  Bahagia
Guna  Manfaat
Halus  Lembut
Hancur  Musnah
Indah  Cantik
Jahat  Keji
Jauh  Terpencil
Kaya  Makmur
Kecil  Mungil
Keras  Kokoh
Kotor  Kumal
Lama  Uzur
Langka  Jarang
Lebar  Luas
Lemah  Loyo
Licik  Culas
Malas  Loyo
Miskin  Melarat
Mudah  Simpel
Nyaman  Tentram
Padat  Penuh
Panas  Gerah
Pelan  Lambat
Pintar  Cerdas
Ramai  Riuh
Suci  Murni
Tenang  Damai
